"order_id","product_id","craftsman_id","customer_id","order_created_date","order_completion_date","order_status","product_name","product_description","product_type","product_price"
1,1,1,1,2022-11-25,2022-11-27,done,Instant Coffee,"BRU Instant Coffee was launched in 1968 and was Indias first coffee-chicory mix instant coffee. It is the perfect mix of 70% coffee and 30% chicory and is made from a fine blend of the choicest plantation and Robusta beans. These coffee beans are first roasted to perfection, then the new and enhanced process ensures that the fresh coffee aroma is preserved so that you get a rich coffee taste beyond compare. HandMadeInstant coffee can be used to make an aromatic cup of hot coffee as well as a refreshing glass of cold coffee. With HandMadeInstant, you can now discover a great coffee experience with your loved ones.  



ABOUT BRU  



A part of Hindustan Unilever Ltd. , BRU Coffee is Indias largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, BRU has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and are freshly roasted, to serve a great cup of rich, irresistible coffee. BRU has four distinct offerings - BRU Instant and BRU Gold in Instant coffee, BRU Green Label and BRU Select in Filter coffee. BRU-ed with love and blended with passion, BRU Coffee celebrates authenticity in coffee and relationships.",Beverages,267
2,2,2,2,2020-03-22,,in progress,HandMade G-Shock Men Black Dial Basic Watch DW-5900-1DR - G909,"Display: DigitalMovement: QuartzPower source: BatteryDial style: Solid round polycarbonate dialFeatures: Multi Function, Stopwatch, LED BacklightStrap style: Black regular, rubber strap with a tang closureWater resistance: 200 mWarranty: 2 yearsWarranty provided by brand/manufacturer",clothes,15
3,3,3,3,2020-02-20,2020-02-22,done,Sunrise Instant Coffee - Chicory Mixture,"Nescafe Sunrise Instant Coffee Chicory Mixture is a refreshing instant coffee. It is made with the blends of 70% coffee and 30% chicory that are slow-roasted to achieve the signature aroma. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.",Beverages,77
4,4,4,4,2020-08-16,,delivery,HandMade Women Grey & Gold-Toned Printed Kurta with Palazzos,"Grey and gold-toned printed kurta with palazzos Grey and gold-toned straight calf length kurta, has a round neck, three-quarter sleeves, straight hem, side slitsGrey and gold-toned  Printed palazzos, has elasticated waistband, slip-on closure",clothes,292
5,5,5,5,2021-01-31,,created,"Coffee - Powder, Extra Strong","Cothas Extra Strong Coffee Powder is an Instant mixture of Coffee and Chicory. 60% of Coffee and 40% of chicory prepared HandMade more tasty, since the secret of the taste is concealed in the blend.",Beverages,165
6,6,6,6,2019-11-27,,in progress,HandMade Women Gold-Toned Textured Sandals,"A pair of gold-toned open toe sandals, has regular styling, open back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 monthWarranty provided by brand/manufacturer",clothes,63
7,7,7,7,2018-08-25,2018-08-26,done,Instant Coffee,"BRU Instant Coffee was launched in 1968 and was Indias first coffee-chicory mix instant coffee. It is the perfect mix of 70% coffee and 30% chicory and is made from a fine blend of the choicest plantation and Robusta beans. These coffee beans are first roasted to perfection, then the new and enhanced process ensures that the fresh coffee aroma is preserved so that you get a rich coffee taste beyond compare. HandMadeInstant coffee can be used to make an aromatic cup of hot coffee as well as a refreshing glass of cold coffee. With HandMadeInstant, you can now discover a great coffee experience with your loved ones.  

ABOUT BRU  

A part of Hindustan Unilever Ltd. , BRU Coffee is Indias largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, BRU has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and are freshly roasted, to serve a great cup of rich, irresistible coffee. BRU has four distinct offerings - BRU Instant and BRU Gold in Instant coffee, BRU Green Label and BRU Select in Filter coffee. BRU-ed with love and blended with passion, BRU Coffee celebrates authenticity in coffee and relationships.",Beverages,173
8,8,8,8,2021-08-16,,created,HandMade Men White Batman Printed T-shirt,"White printed T-shirt, has a round neck, and short sleeves",clothes,222
9,9,9,9,2018-06-03,,delivery,"Coffee - Powder, Premium Special",Cothas coffee offers you with finest of both the worlds; the wealthy taste and aroma of usual filter coffee along with the confidence and superiority of a truly world class product.,Beverages,51
10,10,10,10,2018-04-06,2018-04-09,done,HandMade Olive Green Solid Shoulder Bag,"Olive green solid shoulder bag, has a zip closure2 main compartments, 1 external and 5 inner pocketsTwo Handles with a detachable sling strapWarranty: 1 yearWarranty provided by brand/manufacturer",clothes,142
11,11,11,11,2022-05-20,,in progress,Instant Coffee - Gold,HandMadeGold Instant Coffee brings to you the authentic taste of coffee in its purest form. It is 100% pure granulated coffee from South Indian plantations with the perfect blend of high-quality Arabica and Robusta coffee beans. The coffee is finely sorted and roasted to perfection it delivers a mix that retains its qualities for a long time. This smooth coffee mix is an excellent way to kick start the day. Now savour the authentic flavour in every sip with this pure coffee. It is easy to make without any hassle.,Beverages,206
12,12,12,12,2018-06-20,,in progress,HandMade Blue Printed Cotton Reversible Bathmat,Set content: One bathmatColour: BlueFabric: 100% CottonShape: RectangularPattern: Printed,clothes,214
13,13,13,13,2022-07-15,,delivery,Coffee - Eighty Degree,"Eighty Degree Coffee denotes very high quality Coffee, A Classic blend of High grown Arabic Coffee, to give you enriching aroma and exquisite taste, A cup of coffee strong enough to stimulate and yet smooth enough to delight your senses, Coffee Can't get better than this.",Beverages,23
14,14,14,14,2022-07-28,,created,HandMade Men Blue Textile Detector Peacoat Running Shoes,"A pair of blue running sports shoes, has regular styling, lace-up detailTextile upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer",clothes,181
15,15,15,15,2021-03-06,,created,Filter Coffee Decoction,"The coffee is plucked, roasted and ground before being drip-brewed the authentic way, and has no added preservatives, colour or artificial flavours. Just snip, pour, mix with whole milk, and enjoy the perfect cup of nostalgia, no matter where you are!There’s nothing like waking up to a freshly brewed cup of traditional filter coffee. The aromas are enough to remind you of home. After all, what’s not to love about authentic South Indian filter coffee? With our natural filter coffee decoction, everybody can brew perfection.",Beverages,183
16,16,16,16,2022-04-30,2022-05-02,done,HandMade Pack of 2 Assorted Lightly Padded T-shirt Bras E6552BS,Pack of 2 solid medium-coverage assorted T-shirt brasLightly padded and non-wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day ComfortDisclaimer: The final product delivered might vary in colour and prints from the display here,clothes,15
17,17,17,17,2020-12-19,,created,Sunrise Instant Coffee,"NESCAFE Sunrise is an instant coffee-chicory mixture made from 70% coffee powder and 30% chicory. This instant coffee is made with the fine blends of Arabica and Robusta coffee beans from the farms of South India. These beans are slow-roasted in rotating drum roasters till they develop the perfect aroma. Nestle’s world-class technology then ensures this aroma is retained all through the coffee-making process and finally capture in aroma granules. This soluble coffee is easy to use, ensuring coffee-making doesn’t seem like an inconvenience. So, rise up to the awakening taste and rich aroma of NESCAFE Sunrise coffee and let new opportunities come to you.
THE NESCAFE PLAN: We are committed to using sustainable processes in our coffee production and taking care of our planet by introducing better farming techniques. HandMadeworks directly with 1,70,000 coffee farmers every year and helps them grow better quality, delicious coffee which leads to an increase in their income.",Beverages,169
18,18,18,18,2021-10-27,,in progress,HandMade Women Peach-Coloured Solid Night suit,"Peach-coloured night suit consists of top and pyjamasPeach-coloured solid top, has a round neck, short sleevesA pair of peach-coloured printed pyjamas, has slip-on closure",clothes,161
19,19,19,19,2020-12-17,,delivery,Premium Coffee,"HandMade Premium Coffee is a blend of 80% coffee and 20 % chicory. It is made with best selected coffee beans that are roasted and ground in the authentic way. Now savour the refreshingly unique coffee flavour with this strong cup of coffee. A perfect delight for all the coffee lovers. It does not contain any added preservatives, colour or artificial flavours. This smooth coffee mix is an excellent way to kick start the day. It is easy to make without any hassle.",Beverages,113
20,20,20,20,2019-05-08,2019-05-10,done,HandMade Blue Solid Shoulder Bag,"Blue solid shoulder bag, has a zip closure2 main compartments, 1 external and 5 inner pocketsTablet sleeve: NoTwo Handles with a detachable sling strapWarranty: 1 yearWarranty provided by brand/manufacturer",clothes,208
21,21,21,21,2020-06-18,,created,Malgudi Filter Coffee Pouch -  80:20,"Malgudi filter coffee plantation is sourced & processed under conditions to meet the strictest quality standards. Made from traditionally roasted coffee beans, it gives you a strong coffee experience. It is specially packed in freshness seal packs to lock the aroma of the coffee.",Beverages,149
22,22,22,22,2021-06-08,,in progress,HandMade Men Burgundy & White Printed Hooded Sweatshirt,"Burgundy and white printed sweatshirt, has a hood, two pockets, long sleeves, zip closure, straight hem",clothes,299
23,23,23,23,2021-09-02,,in progress,Latte Coffee Cup,"Now take your coffee experiences to the next level with HandMadeLatte Coffee Cup. A convenient coffee premix in convenient single-use sachets. It is perfect to use while travelling or while your at home. The premix ensures you get a great tasting cup every time. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.",Beverages,108
24,24,24,24,2022-08-22,,in progress,HandMade Blue Abstract 140 TC Cotton 1 Queen Bedsheet with 2 Pillow Covers,Set content: 1 Queen bedsheet with 2 pillow coversQuality: RegularThread count: 140Colour: BluePattern: Abstract,clothes,212
25,25,25,25,2021-09-20,2021-09-22,done,Grand Coffee,"HandMade Grand which delivers an intensely rich, fresh and aromatic taste of the coffee. Get a fresh start to your mornings with a sip of your favourite coffee and be ready for an adventurous ride all day long. It is made with finest quality coffee beans that are roasted and processed to perfection. This coffee is revitalizing and gives you an instant boost of energy. Get the full taste and delight in every sip. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.",Beverages,128
26,26,26,26,2022-12-29,,in progress,HandMade Pack of 2 Assorted Lightly Padded T-shirt Bras E6552COS,Pack of 2 solid medium-coverage assorted T-shirt brasLightly padded and non-wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day ComfortDisclaimer: The final product delivered might vary in colour and prints from the display here,clothes,27
27,27,27,27,2018-09-18,2018-09-20,done,Coffee - Classic,"• 100% pure natural coffee beans go into making every granule of NESCAFe Classic. With the new world class ERA technology, you get richer aroma and an unmatched coffee experience to stimulate your senses every morning with your favourite NESCAFe.• Coffee is 100% natural and contains antioxidants. Antioxidants help to fight free radicals.",Beverages,117
28,28,28,28,2021-08-25,2021-08-27,done,HandMade Women Blue & Gold-Toned Solid Kurta with Palazzos & Dupatta,"Blue and gold-toned solid kurta with palazzos and dupatta Blue and gold-toned straight calf length kurta, has a round neck, three-quarter sleeves, side slitsBlue and gold-toned  solid palazzos, has elasticated waistband, slip-on closureBlue and gold-toned solid dupatta, has solid border",clothes,35
29,29,29,29,2019-06-29,,in progress,"Coffee - Powder, Premium Blended","Cothas Premium Special Coffee Powder offers the rich savor and smell of usual filter coffee along with the belief and superiority of a really world class product. It has good quality savor, which is cheap and suitable. It has sturdy scorched and aroma flavor. The quantity is high and fixed, the flavor is rich, and the aromatic is outstanding.",Beverages,196
30,30,30,30,2019-10-01,2019-10-02,done,HandMade Women Pack of 2 Assorted Lightly Padded T-shirt Bras E6552REWI,Pack of 2 solid half-coverage assorted T-shirt brasLightly padded and non-wired seamless cupsRegular straps and back closureBack style: RegularFeature: All day comfortDisclaimer: The final product delivered might vary in colour and prints from the display here,clothes,182
31,31,31,31,2021-06-19,2021-06-22,done,Xtra Coffee Pouch,"HandMade Xtra Coffee gives you a authentic richness and freshness. A meticulous blend of 70% coffee and 30% Chicory. It creates a magic for the senses owing to its aroma, flavour and richness, giving you the much needed boost to take on any challenge throughout the day. Now savour the rich and long after taste with this strong cup of coffee. This smooth coffee mix is an excellent way to kick start the day. It is easy to make without any hassle.",Beverages,99
